subsystem,feature,c_reference,rust_reference,status,notes
init,psync_set_alloc,pclsync/psynclib.h:589,,Rejected,"allocator override is a legacy C-runtime hook; Rust uses the global allocator and does not expose this surface"
init,psync_init,pclsync/psynclib.h:591,crates/pcloud-daemon/src/bootstrap.rs,Implemented,"daemon bootstrap performs equivalent init of store/runtime/IPC"
init,psync_set_database_path,pclsync/psynclib.h:588,crates/pcloud-daemon/src/bootstrap.rs,Implemented,"store path configured via daemon config"
init,psync_set_notification_callback,pclsync/psynclib.h:594,,Rejected,"C notification callback pattern replaced by structured event log / IPC notifications in Rust"
init,psync_init_data_event_handler,pclsync/psynclib.h:1606,,Rejected,"C callback registration not mirrored; Rust uses typed event subscriptions"
init,psync_destroy,pclsync/psynclib.h:599,crates/pcloud-daemon/src/runtime.rs,Implemented,"equivalent shutdown path via daemon finalize"
notifications,psync_get_notifications,pclsync/psynclib.h:596,crates/pcloud-proto/src/notifications_api.rs:80 + crates/pcloud-backends/src/notifications_backend.rs:143 + crates/pcloud-sdk/src/lib.rs:754,Implemented,"SDK list_notifications() + daemon Method::ListNotifications; dedicated listnotifications endpoint (C served from diff cache)"
notifications,psync_mark_notificaitons_read,pclsync/psynclib.h:597,crates/pcloud-proto/src/notifications_api.rs:108 + crates/pcloud-backends/src/notifications_backend.rs:175 + crates/pcloud-sdk/src/lib.rs:778,Implemented,"SDK mark_notifications_read() + daemon Request::MarkNotificationsRead; wire command readnotifications with notificationid parameter preserved verbatim from C"
state,psync_download_state,pclsync/psynclib.h:598,,Rejected,"C body is a stub: `uint32_t psync_download_state() { return 0; }` at pclsync/psynclib.c:252 — ghost declaration; Rust transfer runtime exposes real per-transfer state via IPC, so this API is not carried forward"
state,psync_get_status,pclsync/psynclib.h:604,crates/pcloud-daemon/src/runtime.rs:1008,Implemented,"pending/status reporting via CLI status/pending (crypto_status at runtime.rs:1008; pending_transfers at runtime.rs:1406) — wave-5 citation refresh"
state,psync_get_last_error,pclsync/psynclib.h:756,,Rejected,"global errno-style handle not carried; Rust returns typed Result errors"
state,psync_network_exception,pclsync/psynclib.h:947,,Rejected,"global network-exception hook replaced by typed transport errors"
auth,psync_get_username,pclsync/psynclib.h:614,crates/pcloud-backends/src/auth_backend.rs + crates/pcloud-sdk/src/lib.rs,Implemented,"SDK exposes EmbeddedDaemon::username()"
auth,psync_set_user_pass,pclsync/psynclib.h:618,crates/pcloud-proto/src/auth_api.rs:115,Implemented,"live verified password auth"
auth,psync_set_pass,pclsync/psynclib.h:619,crates/pcloud-backends/src/auth_backend.rs,Implemented,"password update path via login"
auth,psync_set_auth,pclsync/psynclib.h:620,crates/pcloud-auth/src/orchestrator.rs:39,Implemented,"token auth path"
auth,psync_logout,pclsync/psynclib.h:621,crates/pcloud-backends/src/auth_backend.rs + crates/pcloud-sdk/src/lib.rs,Implemented,"clears session and persisted account state; SDK exposes EmbeddedDaemon::logout()"
auth,psync_unlink,pclsync/psynclib.h:622,crates/pcloud-backends/src/auth_backend.rs + crates/pcloud-sdk/src/lib.rs,Implemented,"equivalent unlink/logout path via EmbeddedDaemon::logout()"
auth,psync_tfa_send_sms,pclsync/psynclib.h:627,crates/pcloud-auth/src/orchestrator.rs:248 + crates/pcloud-sdk/src/lib.rs,Implemented,"live verified; SDK exposes EmbeddedDaemon::send_two_factor_sms()"
auth,psync_tfa_set_code,pclsync/psynclib.h:628,crates/pcloud-auth/src/orchestrator.rs:119 + crates/pcloud-sdk/src/lib.rs,Implemented,"live verified; SDK exposes EmbeddedDaemon::submit_two_factor_code()"
auth,psync_tfa_send_nofification,pclsync/psynclib.h:630,crates/pcloud-auth/src/orchestrator.rs:262 + crates/pcloud-sdk/src/lib.rs,Implemented,"live verified; SDK exposes EmbeddedDaemon::send_two_factor_notification()"
auth,psync_tfa_has_devices,pclsync/psynclib.h:635,,Rejected,"Audit 06 ncx.4: adaptive-TFA-UI introspection helper has no enterprise Rust analog — the retained path drives TFA directly via send_two_factor_sms (returns phone data) and send_two_factor_notification (returns LoggedDevice list), so the same server-side information is delivered in-band with the resend call. A separate pre-flight 'has_devices' probe would duplicate wire traffic for a C-desktop-UI affordance not carried forward. See REJECTED-RATIONALES-14042026.md#row-23."
auth,psync_tfa_type,pclsync/psynclib.h:638,,Rejected,"Audit 06 ncx.4: the retained Rust path exposes TFA method selection through the explicit send_two_factor_sms / send_two_factor_notification endpoints plus submit_two_factor_code (which accepts sms, device-notification, TOTP, or recovery code). Method dispatch is caller-driven on the secure IPC/CLI path, not server-probed. C's psync_tfa_type is a desktop-UI helper with no functional analog in a daemon-over-IPC surface. See REJECTED-RATIONALES-14042026.md#row-24."
auth,psync_tfa_send_nofification_res,pclsync/psynclib.h:670,crates/pcloud-auth/src/orchestrator.rs,Implemented,"recovery-code/notification resend variant"
auth,psync_get_auth_string,pclsync/psynclib.h:846,crates/pcloud-daemon/src/auth_vault.rs + crates/pcloud-sdk/src/lib.rs,Implemented,"auth vault returns token; SDK exposes EmbeddedDaemon::auth_token_secret()/is_authenticated()"
auth,psync_get_token,pclsync/psynclib.h:1547,crates/pcloud-daemon/src/auth_vault.rs + crates/pcloud-sdk/src/lib.rs,Implemented,"SDK exposes EmbeddedDaemon::auth_token_secret()"
auth,psync_register,pclsync/psynclib.h:799,crates/pcloud-sdk/src/lib.rs + crates/pcloud-backends/src/account_backend.rs + crates/pcloud-proto/src/account_api.rs,Implemented,"account registration exposed via EmbeddedDaemon::register -> AccountRuntime::register -> AccountApi::register (RegisterRequest command ""register""); password wrapped in SecretString; local validation rejects bad email / empty password / missing terms acceptance before network"
auth,psync_verify_email,pclsync/psynclib.h:806,crates/pcloud-sdk/src/lib.rs,Implemented,""
auth,psync_verify_email_restricted,pclsync/psynclib.h:811,crates/pcloud-sdk/src/lib.rs,Implemented,""
auth,psync_lost_password,pclsync/psynclib.h:828,crates/pcloud-sdk/src/lib.rs,Implemented,""
auth,psync_change_password,pclsync/psynclib.h:834,crates/pcloud-sdk/src/lib.rs,Implemented,"rotates auth token on success"
auth,psync_derive_password_from_passphrase,pclsync/psynclib.h:1186,crates/pcloud-crypto/src/password_scorer.rs:471,Implemented,"byte-equivalent port of psymkey_derive (pclsync/pssl.c:693): SHA-512(lower(username)) salt + PBKDF2-HMAC-SHA512 5000 iters + 32-byte DK + base64; passphrase taken as SecretString, returned as SecretBytes (auto-zeroize), intermediates wiped"
auth,psync_password_quality,pclsync/psynclib.h:1172,crates/pcloud-crypto/src/password_scorer.rs:418,Implemented,"byte-equivalent port of ppassword_score (pclsync/ppassword.c:268) + bucket thresholds from pclsync/psynclib.c:1659; dictionary embedded at build time from pclsync/ppassworddict.h via build.rs"
auth,psync_password_quality10000,pclsync/psynclib.h:1184,crates/pcloud-crypto/src/password_scorer.rs:432,Implemented,"byte-equivalent port of pclsync/psynclib.c:1669; shares ppassword_score; quality10000/10000 == quality bucket invariant covered by tests"
account,psync_get_userinfo,pclsync/psynclib.h:1591,crates/pcloud-backends/src/auth_backend.rs + crates/pcloud-sdk/src/lib.rs,Implemented,"live verified; SDK exposes EmbeddedDaemon::userinfo() returning AuthenticatedUser"
account,psync_get_current_userid,pclsync/psynclib.h:1524,crates/pcloud-backends/src/auth_backend.rs + crates/pcloud-sdk/src/lib.rs,Implemented,"SDK exposes EmbeddedDaemon::current_user_id()"
account,psync_setlanguage,pclsync/psynclib.h:1538,crates/pcloud-sdk/src/lib.rs,Implemented,""
account,psync_get_promo,pclsync/psynclib.h:1570,crates/pcloud-sdk/src/lib.rs,Implemented,""
account,psync_get_apiservers,pclsync/psynclib.h:1579,crates/pcloud-sdk/src/lib.rs,Implemented,""
account,psync_set_apiserver,pclsync/psynclib.h:1580,crates/pcloud-sdk/src/lib.rs,Implemented,"persists selection; applies to active runtimes"
account,psync_send_publink,pclsync/psynclib.h:1588,crates/pcloud-proto/src/public_links_api.rs:694 / crates/pcloud-backends/src/public_link_backend.rs:795 / crates/pcloud-daemon/src/runtime.rs:486 / crates/pcloud-sdk/src/lib.rs:934 / crates/pcloud-cli/src/commands.rs:400,Implemented,"Proto PublicLinksApi::send_publink posts sendpublink with code/mails/message/source=1 exactly like C psync_send_publink (psynclib.c:2217). Daemon Request::SendPublink dispatches through public_link_runtime with a SecretString auth_token that zeroizes on Drop. Audit trail logs code + recipient count only (PII-stripped emails). SDK EmbeddedDaemon::send_publink surfaces typed PublinkHelperError. CLI `publink send <code> --to <emails> [--message <text>]`. Tests: public_links_api::send_publink_encodes_expected_params_and_succeeds + send_publink_surfaces_nonzero_result (proto), send_publink_dispatches_through_public_link_runtime (daemon), send_publink_helper_round_trip_against_development_transport (sdk), publink_send_parses_code_recipients_and_message (cli)."
account,psync_ptools_create_backend_event,pclsync/psynclib.h:1599,,Rejected,"C-internal telemetry plumbing; Rust uses structured audit events"
account,psync_register_account_events_callback,pclsync/psynclib.h:1520,,Rejected,"callback model replaced by typed event stream"
account,psync_register_backup_events_callback,pclsync/psynclib.h:1522,,Rejected,"callback model replaced by typed event stream"
account,psync_async_ui_callback,pclsync/psynclib.h:739,,Rejected,"C UI callback plumbing; Rust CLI uses direct IPC"
settings,psync_get_bool_setting,pclsync/psynclib.h:887,crates/pcloud-store/src/repositories/settings.rs,Implemented,"get_bool_setting + SDK EmbeddedDaemon::get_bool_setting; strict-typed (surfaces SettingTypeMismatch instead of C zero sentinel)"
settings,psync_set_bool_setting,pclsync/psynclib.h:888,crates/pcloud-store/src/repositories/settings.rs,Implemented,"set_bool_setting + SDK EmbeddedDaemon::set_bool_setting; stores under ValueKind::Bool in shared value_kv table"
settings,psync_get_int_setting,pclsync/psynclib.h:889,crates/pcloud-store/src/repositories/settings.rs,Implemented,"get_int_setting + SDK EmbeddedDaemon::get_int_setting; i64 round-trip; rejects cross-kind reads"
settings,psync_set_int_setting,pclsync/psynclib.h:890,crates/pcloud-store/src/repositories/settings.rs,Implemented,"set_int_setting + SDK EmbeddedDaemon::set_int_setting"
settings,psync_get_uint_setting,pclsync/psynclib.h:891,crates/pcloud-store/src/repositories/settings.rs,Implemented,"get_uint_setting + SDK EmbeddedDaemon::get_uint_setting; preserves u64::MAX high-bit values"
settings,psync_set_uint_setting,pclsync/psynclib.h:892,crates/pcloud-store/src/repositories/settings.rs,Implemented,"set_uint_setting + SDK EmbeddedDaemon::set_uint_setting"
settings,psync_get_string_setting,pclsync/psynclib.h:893,crates/pcloud-store/src/repositories/settings.rs,Implemented,"get_string_setting + SDK EmbeddedDaemon::get_string_setting; distinguishes absent (None) from empty-string"
settings,psync_set_string_setting,pclsync/psynclib.h:894,crates/pcloud-store/src/repositories/settings.rs,Implemented,"set_string_setting + SDK EmbeddedDaemon::set_string_setting"
settings,psync_reset_setting,pclsync/psynclib.h:895,crates/pcloud-store/src/repositories/settings.rs,Implemented,"reset_setting + SDK EmbeddedDaemon::reset_setting; drops row so next get_*_setting returns None"
settings,psync_has_value,pclsync/psynclib.h:935,crates/pcloud-store/src/repositories/values.rs,Implemented,"ValuesRepository::has with explicit ValueKind (stricter than C which approximates presence via non-zero reads)"
settings,psync_get_bool_value,pclsync/psynclib.h:936,crates/pcloud-store/src/repositories/values.rs,Implemented,"ValuesRepository::get_bool; SDK EmbeddedDaemon::get_bool_value; IPC Request::ValueGet(Bool)"
settings,psync_set_bool_value,pclsync/psynclib.h:937,crates/pcloud-store/src/repositories/values.rs,Implemented,"ValuesRepository::set_bool; SDK EmbeddedDaemon::set_bool_value; IPC Request::ValueSet(Bool)"
settings,psync_get_int_value,pclsync/psynclib.h:938,crates/pcloud-store/src/repositories/values.rs,Implemented,"ValuesRepository::get_int; SDK EmbeddedDaemon::get_int_value; IPC Request::ValueGet(Int)"
